site_number,airport_name,icao,s_week_start,s_week_end,s_sat_start,s_sat_end,s_sun_start,s_sun_end,s_ph_start,s_ph_end,w_week_start,w_week_end,w_sat_start,w_sat_end,w_sun_start,w_sun_end,w_ph_start,w_ph_end,taf_freq,taf_len,rules,bench,country_code,grouping
3803,St Marys,EGHE,7,18,7,18,,,7,18,8,17,8,18,,,8,17,3,9,civil,civil_av1,ENG,FCUK41
352206,Lands End,EGHC,6,18,6,18,,,9,18,8,18,8,12,,,8,18,3,9,civil,civil_av1,ENG,FCUK41
310216,Newquay,EGHQ,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,9,civil,civil_av1,ENG,FCUK41
3839,Exeter,EGTE,9,4,9,17,9,17,9,4,10,4,,,12,15,9,4,3,9,civil,civil_av1,ENG,FCUK41
3862,Bournemouth,EGHH,5,23,5,1,5,21,5,23,6,22,6,22,6,22,6,22,3,9,civil,civil_av1,ENG,FCUK31
3,Southampton,EGHI,5,22,5,22,6,22,6,22,6,23,6,23,7,23,7,23,3,9,civil,civil_av1,ENG,FCUK31
351609,Gloucester,EGBJ,7,19,7,19,8,19,8,19,8,20,8,19,8,19,8,19,3,9,civil,civil_av1,ENG,FCUK31
3716,St Athan,EGSY,8,16,8,16,8,16,8,16,9,17,9,17,9,17,9,17,3,9,civil,civil_av1,ENG,FCUK31
350447,Birmingham,EGBB,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,6,24,civil,civil_av1,ENG,FTUK47
351317,East_Midlands,EGNX,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,6,24,civil,civil_av1,ENG,FTUK47
99098,Norwich,EGSH,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,9,offshore,civil_av2,ENG,FCUK32
14,Carlisle,EGNC,6,18,6,18,6,18,6,18,9,18,9,18,9,18,9,18,3,9,civil,civil_av2,ENG,FCUK42
350710,Caernarfon,EGCK,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,9,civil,civil_av2,WLS,FCUK42
350475,Blackpool,EGNH,6,20,6,20,6,20,6,20,7,21,7,21,7,21,7,21,3,9,offshore,civil_av2,ENG,FCUK48
98,Warton,EGNO,6,18,,,,,6,18,8,19,,,,,8,19,3,9,civil,civil_av2,ENG,FCUK48
3321,Hawarden,EGNR,5,20,7,18,7,18,5,20,6,21,8,19,8,19,6,21,3,9,civil,civil_av2,WLS,FCUK42
37,Durham Teeside,EGNV,5,21,5,21,5,21,5,21,8,21,,,12,20,8,21,3,9,civil,civil_av2,ENG,FCUK42
22,Humberside,EGNJ,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,9,offshore,civil_av2,ENG,FCUK42
352508,Manchester Ringway,EGCC,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,6,30,civil,civil_av2,ENG,FTUK42
352790,Newcastle,EGNT,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,6,24,civil,civil_av2,ENG,FTUK32
353223,Doncaster,EGCN,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,6,24,civil,civil_av2,ENG,FTUK32
26,Liverpool,EGGP,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,6,24,offshore,civil_av2,ENG,FTUK42
25,Leeds Bradford,EGNM,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,6,24,civil,civil_av2,ENG,FTUK32
353720,Stornoway,EGPO,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,9,civil,civil_av3,SCT,FCUK33
350383,Benbecula,EGPL,3,17,3,15,3,18,3,18,3,18,3,15,3,18,3,18,3,9,offshore,civil_av3,SCT,FCUK33
353924,Tiree,EGPU,6,18,6,18,14,18,6,18,6,19,6,19,14,18,6,19,3,9,civil,civil_av3,SCT,FCUK43
301886,Oban,EGEO,7,17,9,17,9,17,9,17,8,17,8,14,10,17,10,17,3,9,civil,civil_av3,SCT,FCUK43
353764,Sumburgh,EGPB,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,9,offshore,civil_av3,SCT,FCUK33
3017,Kirkwall,EGPA,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,9,offshore,civil_av3,SCT,FCUK33
354215,Wick,EGPC,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,9,offshore,civil_av3,SCT,FCUK33
23520193,Inverness,EGPE,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,9,offshore,civil_av3,SCT,FCUK33
351274,Dundee,EGPN,6,20,8,16,8,20,8,21,9,21,9,16,9,21,9,21,3,9,civil,civil_av3,SCT,FCUK43
3105,Islay,EGPI,3,18,3,18,3,18,3,18,3,19,3,18,3,18,3,18,3,9,civil,civil_av3,SCT,FCUK43
3111,Campbeltown,EGEC,7,17,,,16,18,7,17,8,18,,,,,8,18,3,9,civil,civil_av3,SCT,FCUK43
3091,Aberdeen,EGPD,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,6,24,offshore,civil_av3,SCT,FTUK43
351352,Edinburgh,EGPH,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,6,24,civil,civil_av3,SCT,FTUK43
3136,Prestwick,EGPK,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,6,24,civil,civil_av3,SCT,FTUK48
351581,Glasgow,EGPF,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,6,24,civil,civil_av3,SCT,FTUK48
352417,Southend,EGMC,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,9,civil,heathrow_om,ENG,FCUK46
5,London City,EGLC,3,21,3,12,3,21,3,21,3,22,3,13,3,22,3,22,3,9,civil,heathrow_om,ENG,FCUK46
5,London City (long),EGLC,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,6,24,civil,heathrow_om,ENG,FTUK46
352411,Biggin Hill,EGKB,5,22,7,21,7,21,7,21,6,23,8,22,8,22,8,22,3,9,civil,heathrow_om,ENG,FCUK46
3768,Farnborough,EGLF,6,23,7,19,7,19,7,19,7,23,8,20,8,20,8,20,3,9,civil,heathrow_om,ENG,FCUK46
353506,Shoreham,EGKA,7,19,8,19,8,18,7,19,8,20,9,20,9,19,9,19,3,9,civil,heathrow_om,ENG,FCUK46
6,Lydd,EGMD,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,9,civil,heathrow_om,ENG,FCUK46
350730,Cambridge,EGSC,7,17,,,,,7,17,8,18,8,18,8,18,8,18,3,9,civil,heathrow_om,ENG,FCUK36
7,Cranfield,EGTC,7,18,8,17,8,17,8,17,8,19,9,18,9,18,9,18,3,9,civil,heathrow_om,ENG,FCUK36
352086,Oxford,EGTK,5,22,5,22,5,22,5,22,6,23,6,23,6,23,6,23,3,9,civil,heathrow_om,ENG,FCUK36
352414,Gatwick,EGKK,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,6,30,civil,heathrow_om,ENG,FTUK50
3772,Heathrow,EGLL,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,6,30,civil,heathrow_som,ENG,FTUK45
350927,Londonderry,EGAE,6,21,6,16,10,18,6,21,6,21,6,16,10,18,6,21,3,9,civil,aldergrove,NIR,FCUK48
8,Belfast City,EGAC,5,21,5,16,5,21,5,21,5,21,5,21,5,21,5,21,3,9,civil,aldergrove,NIR,FCUK48
3917,Belfast International,EGAA,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,6,24,civil,aldergrove,NIR,FTUK48
352418,Stansted,EGSS,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,6,30,civil,team_leader,ENG,FTUK41
350760,Cardiff,EGFF,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,6,24,civil,team_leader,ENG,FTUK31
350612,Bristol,EGGD,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,6,24,civil,team_leader,ENG,FTUK31
352416,Luton,EGGW,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,6,24,civil,team_leader,ENG,FTUK41
3649,Brize Norton,EGVN,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,18,defence,defence,ENG,Defence
3068,Lossiemouth,EGQS,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,18,defence,defence,SCT,Defence
3171,Leuchars,EGQL,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,9,defence,defence,SCT,Defence
3224,Spadeadam,EGOM,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,9,defence,defence,ENG,Defence
3257,Leeming,EGXE,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,9,defence,defence,ENG,Defence
3302,Valley,EGOV,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,9,defence,defence,WLS,Defence
3373,Scampton,EGXP,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,9,defence,defence,ENG,Defence
3377,Waddington,EGXW,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,18,defence,defence,ENG,Defence
3391,Coningsby,EGXC,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,18,defence,defence,ENG,Defence
3414,Shawbury,EGOS,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,9,defence,defence,ENG,Defence
3440,Wittering,EGXT,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,9,defence,defence,ENG,Defence
3462,Wittering,EGXT,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,9,defence,defence,ENG,Defence
3482,Marham,EGYM,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,9,defence,defence,ENG,Defence
3590,Wattisham,EGUW,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,9,defence,defence,ENG,Defence
3658,Benson,EGUB,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,9,defence,defence,ENG,Defence
3672,Northolt,EGWU,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,18,defence,defence,ENG,Defence
3746,Boscombe Down,EGDM,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,9,defence,defence,ENG,Defence
3749,Middle Wallop,EGVP,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,9,defence,defence,ENG,Defence
3761,Odiham,EGVO,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,12,defence,defence,ENG,Defence
3770,Lyneham,EGDL,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,9,defence,defence,ENG,Defence
3771,Lyneham,EGDL,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,9,defence,defence,ENG,Defence
3805,Cranwell,EGSG,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,9,defence,defence,ENG,Defence
3809,Culdrose,EGDR,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,9,defence,defence,ENG,Defence
3853,Yeovilton,EGDY,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,9,defence,defence,ENG,Defence
354300,Woodvale,EGOW,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,9,defence,defence,ENG,Defence
